# temp[C] pressure[mbar] humidity[%] freq[GHz] alt[deg] ref["]
-20 548 0 150 35 49.3328
-20 548 0 150 36 47.552
-20 548 0 150 37 45.854
-20 548 0 150 38 44.2323
-20 548 0 150 39 42.6808
-20 548 0 150 40 41.1943
-20 548 0 150 41 39.7679
-20 548 0 150 42 38.3972
-20 548 0 150 43 37.0784
-20 548 0 150 44 35.8076
-20 548 0 150 45 34.5817
-20 548 0 150 46 33.3976
-20 548 0 150 47 32.2525
-20 548 0 150 48 31.1438
-20 548 0 150 49 30.0693
-20 548 0 150 50 29.0267
-20 548 0 150 51 28.0141
-20 548 0 150 52 27.0295
-20 548 0 150 53 26.0713
-20 548 0 150 54 25.1378
-20 548 0 150 55 24.2276
-20 548 0 150 56 23.3393
-20 548 0 150 57 22.4716
-20 548 0 150 58 21.6232
-20 548 0 150 59 20.7931
-20 548 0 150 60 19.9801
-20 548 0.1 150 35 49.5463
-20 548 0.1 150 36 47.7577
-20 548 0.1 150 37 46.0524
-20 548 0.1 150 38 44.4236
-20 548 0.1 150 39 42.8654
-20 548 0.1 150 40 41.3724
-20 548 0.1 150 41 39.9398
-20 548 0.1 150 42 38.5633
-20 548 0.1 150 43 37.2387
-20 548 0.1 150 44 35.9624
-20 548 0.1 150 45 34.7312
-20 548 0.1 150 46 33.5419
-20 548 0.1 150 47 32.3919
-20 548 0.1 150 48 31.2784
-20 548 0.1 150 49 30.1993
-20 548 0.1 150 50 29.1522
-20 548 0.1 150 51 28.1351
-20 548 0.1 150 52 27.1463
-20 548 0.1 150 53 26.1839
-20 548 0.1 150 54 25.2465
-20 548 0.1 150 55 24.3323
-20 548 0.1 150 56 23.4402
-20 548 0.1 150 57 22.5687
-20 548 0.1 150 58 21.7166
-20 548 0.1 150 59 20.8829
-20 548 0.1 150 60 20.0664
-20 548 0.2 150 35 49.7596
-20 548 0.2 150 36 47.9634
-20 548 0.2 150 37 46.2507
-20 548 0.2 150 38 44.6148
-20 548 0.2 150 39 43.0499
-20 548 0.2 150 40 41.5505
-20 548 0.2 150 41 40.1117
-20 548 0.2 150 42 38.7292
-20 548 0.2 150 43 37.3989
-20 548 0.2 150 44 36.1171
-20 548 0.2 150 45 34.8806
-20 548 0.2 150 46 33.6862
-20 548 0.2 150 47 32.5312
-20 548 0.2 150 48 31.413
-20 548 0.2 150 49 30.3292
-20 548 0.2 150 50 29.2776
-20 548 0.2 150 51 28.2561
-20 548 0.2 150 52 27.2631
-20 548 0.2 150 53 26.2966
-20 548 0.2 150 54 25.355
-20 548 0.2 150 55 24.437
-20 548 0.2 150 56 23.541
-20 548 0.2 150 57 22.6657
-20 548 0.2 150 58 21.81
-20 548 0.2 150 59 20.9727
-20 548 0.2 150 60 20.1527
-20 548 0.3 150 35 49.9729
-20 548 0.3 150 36 48.1689
-20 548 0.3 150 37 46.4488
-20 548 0.3 150 38 44.806
-20 548 0.3 150 39 43.2343
-20 548 0.3 150 40 41.7285
-20 548 0.3 150 41 40.2835
-20 548 0.3 150 42 38.8951
-20 548 0.3 150 43 37.5591
-20 548 0.3 150 44 36.2718
-20 548 0.3 150 45 35.03
-20 548 0.3 150 46 33.8305
-20 548 0.3 150 47 32.6705
-20 548 0.3 150 48 31.5475
-20 548 0.3 150 49 30.459
-20 548 0.3 150 50 29.4029
-20 548 0.3 150 51 28.3771
-20 548 0.3 150 52 27.3798
-20 548 0.3 150 53 26.4091
-20 548 0.3 150 54 25.4636
-20 548 0.3 150 55 24.5416
-20 548 0.3 150 56 23.6417
-20 548 0.3 150 57 22.7627
-20 548 0.3 150 58 21.9034
-20 548 0.3 150 59 21.0625
-20 548 0.3 150 60 20.2389
-20 548 0.4 150 35 50.186
-20 548 0.4 150 36 48.3743
-20 548 0.4 150 37 46.6469
-20 548 0.4 150 38 44.997
-20 548 0.4 150 39 43.4186
-20 548 0.4 150 40 41.9064
-20 548 0.4 150 41 40.4553
-20 548 0.4 150 42 39.0609
-20 548 0.4 150 43 37.7191
-20 548 0.4 150 44 36.4264
-20 548 0.4 150 45 35.1793
-20 548 0.4 150 46 33.9746
-20 548 0.4 150 47 32.8097
-20 548 0.4 150 48 31.6819
-20 548 0.4 150 49 30.5888
-20 548 0.4 150 50 29.5282
-20 548 0.4 150 51 28.498
-20 548 0.4 150 52 27.4964
-20 548 0.4 150 53 26.5216
-20 548 0.4 150 54 25.572
-20 548 0.4 150 55 24.6461
-20 548 0.4 150 56 23.7424
-20 548 0.4 150 57 22.8597
-20 548 0.4 150 58 21.9967
-20 548 0.4 150 59 21.1522
-20 548 0.4 150 60 20.3251
-20 548 0.5 150 35 50.3991
-20 548 0.5 150 36 48.5797
-20 548 0.5 150 37 46.8449
-20 548 0.5 150 38 45.188
-20 548 0.5 150 39 43.6029
-20 548 0.5 150 40 42.0842
-20 548 0.5 150 41 40.6269
-20 548 0.5 150 42 39.2266
-20 548 0.5 150 43 37.8792
-20 548 0.5 150 44 36.5809
-20 548 0.5 150 45 35.3285
-20 548 0.5 150 46 34.1187
-20 548 0.5 150 47 32.9489
-20 548 0.5 150 48 31.8163
-20 548 0.5 150 49 30.7185
-20 548 0.5 150 50 29.6534
-20 548 0.5 150 51 28.6189
-20 548 0.5 150 52 27.613
-20 548 0.5 150 53 26.6341
-20 548 0.5 150 54 25.6805
-20 548 0.5 150 55 24.7506
-20 548 0.5 150 56 23.8431
-20 548 0.5 150 57 22.9566
-20 548 0.5 150 58 22.0899
-20 548 0.5 150 59 21.2418
-20 548 0.5 150 60 20.4113
-20 548 0.6 150 35 50.612
-20 548 0.6 150 36 48.7849
-20 548 0.6 150 37 47.0428
-20 548 0.6 150 38 45.3789
-20 548 0.6 150 39 43.7871
-20 548 0.6 150 40 42.2619
-20 548 0.6 150 41 40.7985
-20 548 0.6 150 42 39.3922
-20 548 0.6 150 43 38.0391
-20 548 0.6 150 44 36.7354
-20 548 0.6 150 45 35.4776
-20 548 0.6 150 46 34.2628
-20 548 0.6 150 47 33.088
-20 548 0.6 150 48 31.9506
-20 548 0.6 150 49 30.8482
-20 548 0.6 150 50 29.7786
-20 548 0.6 150 51 28.7396
-20 548 0.6 150 52 27.7295
-20 548 0.6 150 53 26.7465
-20 548 0.6 150 54 25.7888
-20 548 0.6 150 55 24.8551
-20 548 0.6 150 56 23.9437
-20 548 0.6 150 57 23.0535
-20 548 0.6 150 58 22.1831
-20 548 0.6 150 59 21.3315
-20 548 0.6 150 60 20.4974
-20 548 0.7 150 35 50.8249
-20 548 0.7 150 36 48.9901
-20 548 0.7 150 37 47.2406
-20 548 0.7 150 38 45.5696
-20 548 0.7 150 39 43.9711
-20 548 0.7 150 40 42.4396
-20 548 0.7 150 41 40.97
-20 548 0.7 150 42 39.5578
-20 548 0.7 150 43 38.199
-20 548 0.7 150 44 36.8897
-20 548 0.7 150 45 35.6267
-20 548 0.7 150 46 34.4068
-20 548 0.7 150 47 33.227
-20 548 0.7 150 48 32.0848
-20 548 0.7 150 49 30.9778
-20 548 0.7 150 50 29.9037
-20 548 0.7 150 51 28.8604
-20 548 0.7 150 52 27.846
-20 548 0.7 150 53 26.8588
-20 548 0.7 150 54 25.8972
-20 548 0.7 150 55 24.9595
-20 548 0.7 150 56 24.0443
-20 548 0.7 150 57 23.1503
-20 548 0.7 150 58 22.2763
-20 548 0.7 150 59 21.4211
-20 548 0.7 150 60 20.5835
-20 548 0.8 150 35 51.0377
-20 548 0.8 150 36 49.1951
-20 548 0.8 150 37 47.4383
-20 548 0.8 150 38 45.7603
-20 548 0.8 150 39 44.1551
-20 548 0.8 150 40 42.6171
-20 548 0.8 150 41 41.1414
-20 548 0.8 150 42 39.7233
-20 548 0.8 150 43 38.3588
-20 548 0.8 150 44 37.0441
-20 548 0.8 150 45 35.7757
-20 548 0.8 150 46 34.5507
-20 548 0.8 150 47 33.366
-20 548 0.8 150 48 32.219
-20 548 0.8 150 49 31.1073
-20 548 0.8 150 50 30.0287
-20 548 0.8 150 51 28.9811
-20 548 0.8 150 52 27.9625
-20 548 0.8 150 53 26.9711
-20 548 0.8 150 54 26.0054
-20 548 0.8 150 55 25.0638
-20 548 0.8 150 56 24.1448
-20 548 0.8 150 57 23.2471
-20 548 0.8 150 58 22.3694
-20 548 0.8 150 59 21.5106
-20 548 0.8 150 60 20.6696
-20 548 0.9 150 35 51.2503
-20 548 0.9 150 36 49.4001
-20 548 0.9 150 37 47.6359
-20 548 0.9 150 38 45.951
-20 548 0.9 150 39 44.3391
-20 548 0.9 150 40 42.7946
-20 548 0.9 150 41 41.3127
-20 548 0.9 150 42 39.8887
-20 548 0.9 150 43 38.5185
-20 548 0.9 150 44 37.1983
-20 548 0.9 150 45 35.9247
-20 548 0.9 150 46 34.6945
-20 548 0.9 150 47 33.5049
-20 548 0.9 150 48 32.3531
-20 548 0.9 150 49 31.2368
-20 548 0.9 150 50 30.1537
-20 548 0.9 150 51 29.1017
-20 548 0.9 150 52 28.0788
-20 548 0.9 150 53 27.0834
-20 548 0.9 150 54 26.1137
-20 548 0.9 150 55 25.1681
-20 548 0.9 150 56 24.2453
-20 548 0.9 150 57 23.3438
-20 548 0.9 150 58 22.4625
-20 548 0.9 150 59 21.6001
-20 548 0.9 150 60 20.7556
-20 548 1 150 35 51.4629
-20 548 1 150 36 49.605
-20 548 1 150 37 47.8335
-20 548 1 150 38 46.1415
-20 548 1 150 39 44.5229
-20 548 1 150 40 42.972
-20 548 1 150 41 41.484
-20 548 1 150 42 40.054
-20 548 1 150 43 38.6781
-20 548 1 150 44 37.3525
-20 548 1 150 45 36.0736
-20 548 1 150 46 34.8383
-20 548 1 150 47 33.6437
-20 548 1 150 48 32.4872
-20 548 1 150 49 31.3662
-20 548 1 150 50 30.2786
-20 548 1 150 51 29.2223
-20 548 1 150 52 28.1952
-20 548 1 150 53 27.1956
-20 548 1 150 54 26.2219
-20 548 1 150 55 25.2724
-20 548 1 150 56 24.3457
-20 548 1 150 57 23.4405
-20 548 1 150 58 22.5556
-20 548 1 150 59 21.6896
-20 548 1 150 60 20.8415
-20 548 1.1 150 35 51.4629
-20 548 1.1 150 36 49.605
-20 548 1.1 150 37 47.8335
-20 548 1.1 150 38 46.1415
-20 548 1.1 150 39 44.5229
-20 548 1.1 150 40 42.972
-20 548 1.1 150 41 41.484
-20 548 1.1 150 42 40.054
-20 548 1.1 150 43 38.6781
-20 548 1.1 150 44 37.3525
-20 548 1.1 150 45 36.0736
-20 548 1.1 150 46 34.8383
-20 548 1.1 150 47 33.6437
-20 548 1.1 150 48 32.4872
-20 548 1.1 150 49 31.3662
-20 548 1.1 150 50 30.2786
-20 548 1.1 150 51 29.2223
-20 548 1.1 150 52 28.1952
-20 548 1.1 150 53 27.1956
-20 548 1.1 150 54 26.2219
-20 548 1.1 150 55 25.2724
-20 548 1.1 150 56 24.3457
-20 548 1.1 150 57 23.4405
-20 548 1.1 150 58 22.5556
-20 548 1.1 150 59 21.6896
-20 548 1.1 150 60 20.8415
-20 549 0 150 35 49.4229
-20 549 0 150 36 47.6388
-20 549 0 150 37 45.9377
-20 549 0 150 38 44.313
-20 549 0 150 39 42.7587
-20 549 0 150 40 41.2695
-20 549 0 150 41 39.8405
-20 549 0 150 42 38.4673
-20 549 0 150 43 37.146
-20 549 0 150 44 35.873
-20 549 0 150 45 34.6448
-20 549 0 150 46 33.4585
-20 549 0 150 47 32.3113
-20 549 0 150 48 31.2007
-20 549 0 150 49 30.1242
-20 549 0 150 50 29.0797
